WigleWifi-1.4,appRelease=20190201,model=Kismet,release=2019.02.01.6,device=kismet,display=kismet,board=kismet,brand=kismet
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-78,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
F8:DA:0C:FE:07:17,Our Dog Is Cuter,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:13,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-90,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-91,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-80,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-80,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-80,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-81,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-80,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-88,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DD:2A:D4,WIFIDD2AD0,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
CC:AB:2C:02:E8:34,BoilerUp,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-83,36.0987777710,-80.2599945068,257.635010,0,WIFI
